id,baseDomain,originAttributes,name,value,host,path,expiry,lastAccessed,creationTime,isSecure,isHttpOnly,inBrowserElement,sameSite,rawSameSite
1,google.com,"",1P_JAR,2019-12-12-23,.google.com,/,1578784203,1576193571188000,1576192204305000,0,0,0,0,0
2,google.com,"",NID,193=S8nTpceL-GjTD5PPgR8EmEshpT5Duz8MUrXhJFB4tDNMp-3L7-jV1waorcu732qXlto2Y_gpbis1_nQs_vRgoihxm8uWthoMSVWeEOyQKuFCIaLKbgDc2JOagIE7ifJ1ECV_gH9ozSLMg9kkP2mdRxFenOI1Iq7E4zL5ARb5Zwo,.google.com,/,1592003403,1576193571188000,1576192204305001,0,1,0,0,0
3,countingdownto.com,"",__cfduid,d7857e8cb352889cfe4e20961578ce5f91576192203,.countingdownto.com,/,1578784203,1576192204635000,1576192204635000,0,1,0,0,0
4,wikipedia.org,"",WMF-Last-Access,12-Dec-2019,www.wikipedia.org,/,1578916800,1576192293425000,1576192293425000,1,1,0,0,0
5,wikipedia.org,"",WMF-Last-Access-Global,12-Dec-2019,.wikipedia.org,/,1578916800,1576192293425000,1576192293425001,1,1,0,0,0
6,cambridge.org,"",__cfduid,d6d6b80750b47cb06a69b4304f1c2e5861576192317,.cambridge.org,/,1578784317,1576192318373000,1576192318373000,0,1,0,0,0
7,youtube.com,"",VISITOR_INFO1_LIVE,q3D_bzWWnbs,.youtube.com,/,1591744445,1576193615339000,1576192446272000,1,1,0,0,0
8,youtube.com,"",GPS,1,.youtube.com,/,1576194245,1576193615339000,1576192446272002,0,0,0,0,0
9,jwpsrv.com,"",JW_GCID,1vkh98y1fn0n,.jwpsrv.com,/g,1591960447,1576192447867000,1576192447867000,0,0,0,0,0
13,zdassets.com,"",__cfduid,d3423e2c77ecf6b7f59b47c86d24a93801576192494,.zdassets.com,/,1578784494,1576192494935000,1576192494935000,1,1,0,0,0
14,charitywater.org,"",countrypreference,US,.charitywater.org,/,1607728494,1576192495246000,1576192493637000,0,0,0,0,0
16,charitywater.org,"",__stripe_sid,9cc3d546-a0b2-4313-b0ce-75103dcdf3cc,.www.charitywater.org,/,1576194301,1576192501329000,1576192493978001,0,0,0,0,0
17,charitywater.org,"",__stripe_mid,f09c6f40-0baa-44b7-9657-3b77a8c9004f,.www.charitywater.org,/,1607728501,1576192501329000,1576192493978000,0,0,0,0,0
18,stripe.com,"",m,229e6152-b9ee-42f3-b304-e13c2c966b9f,m.stripe.com,/,1891552501,1576192501552000,1576192495485000,1,1,0,0,0
19,loc.gov,"",__cfduid,d050fbe645727e6fe453bbdb31caacacf1576192696,.loc.gov,/,1578784696,1576192918045000,1576192697719000,0,1,0,0,0
20,loc.gov,"",s_fid,7A1A3A9E12EA2121-23E06FF62B5DB4BE,.loc.gov,/,1734045498,1576192918045000,1576192698613000,0,0,0,0,0
21,congress.gov,"",__cfduid,d40af71fee4428588dd02ad0381eeeeca1576192916,.congress.gov,/,1578784916,1576192917894000,1576192917894000,0,1,0,0,0
22,congress.gov,"",PHPSESSID,g5d6aqphm9d4bb3hsdq8k998p3,www.congress.gov,/,1576196518,1576192918716000,1576192918716000,0,1,0,0,0
23,congress.gov,"",s_fid,252DE3CD613EABE9-236A1B89A2E2B6D1,.congress.gov,/,1734045718,1576192918743000,1576192918743000,0,0,0,0,0
24,fdlp.gov,"",__cfduid,dd86fdeb5d6621c657e8b213d293b44111576192963,.fdlp.gov,/,1578784963,1576192964176000,1576192964176000,0,1,0,0,0
25,gpo.gov,"",__cfduid,da320ffdd75aede14db88579119daf0d61576193191,.gpo.gov,/,1578785191,1576193192915000,1576193192915000,0,1,0,0,0
26,academia.edu,"",auvid3,dFhopW-cneJeq-cZgYQH,.academia.edu,/,1607751170,1576193570817000,1576193570817001,0,0,0,0,0
27,academia.edu,"",auvid,MTU3NjE5MzU3MTAxNTowLjQyMTMzODY0MTc5ODEwMDY1,.academia.edu,/,1578785571,1576193571365000,1576193571365000,0,0,0,0,0
28,academia.edu,"",G_ENABLED_IDPS,google,.www.academia.edu,/,253402257600,1576193571466000,1576193571466000,0,0,0,0,0
29,slideshare.net,"",bcookie,"""v=2&11e4f507-e76f-4582-8092-0628ff63e1a7""",.slideshare.net,/,1639307637,1576193786593000,1576193786593000,0,0,0,0,0
30,slideshare.net,"",_cookie_id,4c6e8de4d1ea8e4d069e97f1a92359f1,.slideshare.net,/,1576195586,1576193787031000,1576193787031000,1,1,0,0,0
31,linkedin.com,"",bcookie,"""v=2&f6e2e5c4-4269-44b1-833f-571915271331""",.linkedin.com,/,1639307638,1576193787404000,1576193787404003,0,0,0,0,0
32,linkedin.com,"",bscookie,"""v=1&201912122336268bf6f71b-b38d-43b6-805c-56df47a7e082AQEI7hJ3hqLGLJ5z-y7ucls-cIdzZeKV""",.www.linkedin.com,/,1639307638,1576193787405000,1576193787405000,1,1,0,0,0
33,linkedin.com,"",lissc2,1,.www.linkedin.com,/,1578785787,1576193787405000,1576193787405001,1,1,0,0,0
34,linkedin.com,"",lidc,"""b=VB01:g=3402:u=1:i=1576193786:t=1576280186:s=AQFmAwNoM2ZWQdBE1DuClHVY3MkJBiAB""",.linkedin.com,/,1576280186,1576193787405000,1576193787405002,0,0,0,0,0
35,blizzard.com,"",locale,en_US,www.blizzard.com,/,1578821812,1576195095472000,1576193812261000,0,1,0,0,0
